type,content,name
text,She is leaving for Savannah tomorrow.,LocPrompt39
text,I ate the kolumb and naan described as San Diego's best,LocPrompt4
text,He is leaving for Newton tomorrow.,LocPrompt40
text,She is leaving for Brentwood tomorrow.,LocPrompt41
text,He is leaving through Golden Gate bridge tomorrow.,LocPrompt42
text,"Lakshmi and Palash have been sceneing so much, they're definitely dating",LocPrompt5
text,They knew where Uma would be on a Friday evening.,LocPrompt6
text,I enjoy eating sambar with dosa. ,LocPrompt7
text,They knew where Shweta would be on a Friday evening.,LocPrompt8
text,She is leaving through Howrah Bridge tomorrow.,LocPrompt9
